2021-12-22 15:34:31	 bmeTemperature : 31.76 bmePressure : 993.98 bmeHumidity : 20.23 bmeGas : 5.68 bmeAltitude : 161.60
2021-12-22 15:34:36	scdCo2 : 1064 scdTemperature : 30.63 scdHumidity : 22.77	 bmeTemperature : 31.76 bmePressure : 993.97 bmeHumidity : 20.14 bmeGas : 5.98 bmeAltitude : 161.77
2021-12-22 15:34:42	scdCo2 : 1057 scdTemperature : 30.67 scdHumidity : 23.05	 bmeTemperature : 31.79 bmePressure : 993.96 bmeHumidity : 20.04 bmeGas : 6.78 bmeAltitude : 161.77
2021-12-22 15:34:48	scdCo2 : 1054 scdTemperature : 30.71 scdHumidity : 23.20	 bmeTemperature : 31.86 bmePressure : 993.97 bmeHumidity : 20.06 bmeGas : 7.51 bmeAltitude : 161.77
2021-12-22 15:34:54	scdCo2 : 1051 scdTemperature : 30.72 scdHumidity : 23.32	 bmeTemperature : 31.94 bmePressure : 993.96 bmeHumidity : 20.00 bmeGas : 8.18 bmeAltitude : 161.77
2021-12-22 15:35:00	scdCo2 : 1050 scdTemperature : 30.76 scdHumidity : 23.42	 bmeTemperature : 32.01 bmePressure : 993.97 bmeHumidity : 19.78 bmeGas : 8.82 bmeAltitude : 161.77
2021-12-22 15:35:05	scdCo2 : 1047 scdTemperature : 30.73 scdHumidity : 23.46	 bmeTemperature : 32.04 bmePressure : 993.96 bmeHumidity : 19.47 bmeGas : 9.45 bmeAltitude : 161.94
2021-12-22 15:35:11	scdCo2 : 1044 scdTemperature : 30.63 scdHumidity : 23.68	 bmeTemperature : 32.05 bmePressure : 993.94 bmeHumidity : 19.21 bmeGas : 10.08 bmeAltitude : 162.11
2021-12-22 15:35:17	scdCo2 : 1043 scdTemperature : 30.57 scdHumidity : 23.80	 bmeTemperature : 32.06 bmePressure : 993.95 bmeHumidity : 18.97 bmeGas : 10.54 bmeAltitude : 161.85
2021-12-22 15:35:23	scdCo2 : 1042 scdTemperature : 30.54 scdHumidity : 23.78	 bmeTemperature : 32.06 bmePressure : 993.98 bmeHumidity : 18.63 bmeGas : 11.02 bmeAltitude : 161.52
2021-12-22 15:35:29	scdCo2 : 1041 scdTemperature : 30.50 scdHumidity : 23.78	 bmeTemperature : 32.06 bmePressure : 994.01 bmeHumidity : 18.59 bmeGas : 11.59 bmeAltitude : 161.26
2021-12-22 15:35:34	scdCo2 : 1041 scdTemperature : 30.46 scdHumidity : 23.89	 bmeTemperature : 32.06 bmePressure : 994.03 bmeHumidity : 18.49 bmeGas : 12.39 bmeAltitude : 161.26
2021-12-22 15:35:40	scdCo2 : 1040 scdTemperature : 30.38 scdHumidity : 23.84	 bmeTemperature : 32.08 bmePressure : 994.01 bmeHumidity : 18.48 bmeGas : 12.90 bmeAltitude : 161.43
2021-12-22 15:35:46	scdCo2 : 1036 scdTemperature : 30.37 scdHumidity : 23.92	 bmeTemperature : 32.09 bmePressure : 994.00 bmeHumidity : 18.54 bmeGas : 13.31 bmeAltitude : 161.52
2021-12-22 15:35:52	scdCo2 : 1032 scdTemperature : 30.33 scdHumidity : 23.90	 bmeTemperature : 32.09 bmePressure : 993.98 bmeHumidity : 18.54 bmeGas : 13.81 bmeAltitude : 161.77
2021-12-22 15:35:57	scdCo2 : 1032 scdTemperature : 30.29 scdHumidity : 23.96	 bmeTemperature : 32.09 bmePressure : 993.96 bmeHumidity : 18.85 bmeGas : 14.20 bmeAltitude : 161.94
2021-12-22 15:36:03	scdCo2 : 1031 scdTemperature : 30.30 scdHumidity : 23.95	 bmeTemperature : 32.10 bmePressure : 993.94 bmeHumidity : 19.13 bmeGas : 14.78 bmeAltitude : 161.85
2021-12-22 15:36:09	scdCo2 : 1021 scdTemperature : 30.24 scdHumidity : 24.10	 bmeTemperature : 32.11 bmePressure : 993.95 bmeHumidity : 19.19 bmeGas : 15.21 bmeAltitude : 161.85
2021-12-22 15:36:15	scdCo2 : 1019 scdTemperature : 30.23 scdHumidity : 24.19	 bmeTemperature : 32.14 bmePressure : 993.95 bmeHumidity : 19.18 bmeGas : 15.72 bmeAltitude : 161.94
2021-12-22 15:36:21	scdCo2 : 1018 scdTemperature : 30.24 scdHumidity : 24.19	 bmeTemperature : 32.16 bmePressure : 993.94 bmeHumidity : 19.14 bmeGas : 16.22 bmeAltitude : 162.02
2021-12-22 15:36:27	scdCo2 : 1014 scdTemperature : 30.26 scdHumidity : 24.22	 bmeTemperature : 32.17 bmePressure : 993.93 bmeHumidity : 19.10 bmeGas : 16.66 bmeAltitude : 161.94
2021-12-22 15:36:32	scdCo2 : 1014 scdTemperature : 30.23 scdHumidity : 24.20	 bmeTemperature : 32.19 bmePressure : 993.93 bmeHumidity : 18.92 bmeGas : 17.14 bmeAltitude : 162.02
2021-12-22 15:36:38	scdCo2 : 1012 scdTemperature : 30.22 scdHumidity : 24.28	 bmeTemperature : 32.22 bmePressure : 993.94 bmeHumidity : 19.03 bmeGas : 17.58 bmeAltitude : 161.94
2021-12-22 15:36:44	scdCo2 : 1012 scdTemperature : 30.22 scdHumidity : 24.24	 bmeTemperature : 32.26 bmePressure : 993.95 bmeHumidity : 19.02 bmeGas : 18.01 bmeAltitude : 161.77
